words,"",10,2,2016,3,365,4,5,950,adds,ai,amazon,android,announces,app,apple,apps,available,azure,band,big,book,build,business,buy,ceo,cloud,corporation,cortana,data,deal,dynamics,edge,enterprise,facebook,first,free,future,game,games,get,gets,google,help,heres,hololens,india,internet,ios,iphone,latest,launches,linkedin,live,lumia,make,may,microsoft,microsofts,mobile,msft,nadella,new,next,office,one,open,pc,phone,power,preview,pro,project,release,releases,review,satya,says,security,server,services,skype,software,stock,store,support,surface,tech,technology,uk,update,updates,upgrade,us,users,video,vs,wants,windows,xbox
"",0,65.0,12.0,28.0,5.0,7.0,16.0,6.0,14.0,2.0,11.0,11.0,12.0,5.0,19.0,19.0,6.0,1.0,8.0,10.0,8.0,5.0,9.0,17.0,4.0,4.0,21.0,11.0,31.0,7.0,7.0,5.0,6.0,7.0,4.0,8.0,8.0,9.0,7.0,10.0,12.0,7.0,21.0,3.0,35.0,15.0,2.0,5.0,5.0,7.0,6.0,4.0,15.0,9.0,35.0,5.0,7.0,476,84,6.0,22.0,10.0,30.0,11.0,13.0,39.0,2.0,6.0,14.0,1.0,2.0,18.0,1.0,4.0,4.0,14.0,10.0,7.0,4.0,4.0,5.0,7.0,9.0,8.0,6.0,4.0,29.0,12.0,6.0,3.0,7.0,2.0,13.0,4.0,12.0,14.0,27.0,11.0,87.0,33.0
10,65,0.0,18.0,21.0,12.0,7.0,14.0,9.0,19.0,31.0,6.0,0.0,24.0,16.0,92.0,12.0,42.0,16.0,3.0,6.0,20.0,8.0,125.0,11.0,4.0,9.0,11.0,12.0,34.0,14.0,6.0,0.0,63.0,17.0,3.0,28.0,74.0,4.0,15.0,16.0,56.0,12.0,11.0,10.0,23.0,10.0,7.0,37.0,19.0,4.0,49.0,21.0,5.0,13.0,52.0,19.0,13.0,1476,241,215.0,13.0,4.0,178.0,25.0,26.0,38.0,2.0,34.0,41.0,5.0,62.0,29.0,3.0,49.0,76.0,12.0,5.0,36.0,19.0,4.0,1.0,8.0,3.0,3.0,19.0,62.0,27.0,4.0,2.0,4.0,224.0,58.0,216.0,7.0,108.0,5.0,4.0,26.0,1818.0,42.0
2,12,18.0,0.0,6.0,4.0,0.0,9.0,8.0,3.0,5.0,0.0,6.0,10.0,2.0,3.0,13.0,2.0,11.0,0.0,220.0,6.0,11.0,3.0,0.0,2.0,3.0,5.0,3.0,10.0,3.0,6.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,2.0,2.0,9.0,15.0,2.0,6.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,5.0,0.0,4.0,295,21,2.0,2.0,1.0,13.0,4.0,1.0,9.0,1.0,2.0,0.0,4.0,1.0,12.0,0.0,15.0,6.0,37.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,21.0,6.0,2.0,14.0,32.0,2.0,0.0,3.0,6.0,0.0,8.0,1.0,21.0,9.0
2016,28,21.0,6.0,0.0,11.0,5.0,10.0,9.0,0.0,10.0,3.0,4.0,2.0,23.0,2.0,9.0,5.0,15.0,13.0,2.0,8.0,10.0,56.0,2.0,5.0,2.0,12.0,10.0,0.0,12.0,6.0,31.0,7.0,4.0,1.0,15.0,6.0,7.0,3.0,17.0,4.0,2.0,7.0,1.0,5.0,7.0,5.0,7.0,1.0,0.0,4.0,5.0,2.0,24.0,6.0,2.0,14.0,489,85,8.0,18.0,3.0,44.0,3.0,52.0,34.0,2.0,4.0,11.0,3.0,15.0,7.0,9.0,18.0,23.0,3.0,2.0,2.0,12.0,83.0,3.0,2.0,3.0,9.0,2.0,10.0,31.0,9.0,3.0,8.0,16.0,4.0,4.0,1.0,1.0,6.0,9.0,1.0,52.0,50.0
3,5,12.0,4.0,11.0,0.0,3.0,12.0,4.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.0,1.0,5.0,0.0,3.0,0.0,1.0,6.0,0.0,4.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,5.0,0.0,1.0,0.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,158,22,0.0,0.0,2.0,17.0,0.0,3.0,6.0,0.0,0.0,4.0,0.0,5.0,38.0,1.0,7.0,7.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,101.0,2.0,2.0,10.0,7.0,5.0,2.0,4.0,0.0,0.0,4.0,1.0,14.0,7.0
365,7,7.0,0.0,5.0,3.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,4.0,8.0,13.0,2.0,8.0,6.0,16.0,0.0,0.0,0.0,2.0,15.0,0.0,2.0,12.0,1.0,0.0,3.0,2.0,7.0,2.0,5.0,0.0,4.0,6.0,0.0,0.0,0.0,12.0,0.0,6.0,3.0,2.0,1.0,0.0,0.0,6.0,0.0,1.0,5.0,0.0,3.0,4.0,1.0,2.0,240,41,4.0,2.0,0.0,41.0,1.0,284.0,1.0,4.0,0.0,2.0,0.0,7.0,2.0,5.0,0.0,8.0,0.0,0.0,3.0,19.0,0.0,6.0,8.0,1.0,0.0,2.0,8.0,1.0,0.0,2.0,2.0,4.0,8.0,0.0,2.0,15.0,2.0,0.0,2.0,10.0,0.0
4,16,14.0,9.0,10.0,12.0,0.0,0.0,11.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,26.0,1.0,4.0,2.0,5.0,2.0,64.0,2.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,8.0,22.0,0.0,4.0,0.0,1.0,4.0,3.0,2.0,4.0,1.0,14.0,0.0,2.0,0.0,4.0,8.0,1.0,2.0,3.0,0.0,5.0,321,40,0.0,2.0,2.0,26.0,3.0,1.0,29.0,0.0,7.0,1.0,3.0,1.0,305.0,1.0,7.0,4.0,44.0,2.0,8.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,3.0,307.0,5.0,0.0,6.0,14.0,10.0,0.0,4.0,3.0,1.0,55.0,0.0,16.0,31.0
5,6,9.0,8.0,9.0,4.0,1.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,3.0,2.0,2.0,5.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,9.0,1.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,4.0,141,21,3.0,7.0,0.0,4.0,2.0,2.0,4.0,2.0,7.0,1.0,2.0,0.0,61.0,0.0,30.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,70.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,10.0,7.0
950,14,19.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,4.0,0.0,6.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,12.0,18.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,0.0,14.0,0.0,1.0,4.0,2.0,6.0,0.0,0.0,205.0,0.0,1.0,183,19,11.0,0.0,0.0,3.0,0.0,5.0,4.0,2.0,4.0,11.0,0.0,2.0,3.0,0.0,1.0,4.0,31.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,16.0,4.0,1.0,1.0,6.0,2.0,0.0,20.0,0.0,24.0,2.0
adds,2,31.0,5.0,10.0,4.0,8.0,1.0,3.0,1.0,0.0,2.0,1.0,13.0,0.0,8.0,2.0,5.0,0.0,15.0,14.0,0.0,0.0,8.0,3.0,1.0,1.0,15.0,2.0,5.0,2.0,0.0,9.0,9.0,3.0,4.0,0.0,3.0,0.0,1.0,7.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,11.0,2.0,6.0,0.0,0.0,2.0,1.0,1.0,0.0,222,11,12.0,2.0,0.0,42.0,1.0,28.0,11.0,0.0,2.0,0.0,10.0,8.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,7.0,4.0,5.0,10.0,3.0,0.0,2.0,44.0,0.0,2.0,0.0,0.0,15.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0,38.0,11.0
ai,11,6.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0,1.0,7.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,4.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,112,91,0.0,5.0,5.0,23.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,4.0,0.0
amazon,11,0.0,6.0,4.0,2.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,35.0,1.0,2.0,10.0,4.0,11.0,0.0,0.0,1.0,4.0,1.0,67.0,1.0,1.0,9.0,1.0,0.0,2.0,0.0,21.0,1.0,0.0,1.0,1.0,0.0,4.0,4.0,67.0,0.0,7.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,2.0,2.0,249,9,0.0,6.0,1.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,5.0,2.0,12.0,0.0,12.0,1.0,0.0,0.0,0.0,5.0,1.0,9.0,0.0,1.0,1.0
android,12,24.0,10.0,2.0,1.0,4.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,66.0,4.0,82.0,6.0,2.0,12.0,3.0,0.0,1.0,9.0,4.0,1.0,0.0,0.0,46.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,1.0,0.0,2.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,67.0,8.0,8.0,16.0,0.0,0.0,0.0,5.0,1.0,279,72,20.0,4.0,0.0,29.0,4.0,28.0,2.0,3.0,0.0,5.0,0.0,3.0,0.0,8.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,2.0,18.0,0.0,0.0,10.0,17.0,0.0,0.0,0.0,0.0,9.0,12.0,0.0,2.0,15.0,10.0,0.0,11.0,59.0,2.0
announces,5,16.0,2.0,23.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,2.0,17.0,0.0,3.0,0.0,2.0,13.0,0.0,1.0,18.0,2.0,0.0,13.0,1.0,10.0,2.0,4.0,0.0,7.0,6.0,1.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,6.0,7.0,2.0,0.0,2.0,1.0,2.0,1.0,4.0,4.0,0.0,0.0,273,2,4.0,5.0,1.0,45.0,2.0,14.0,19.0,3.0,1.0,2.0,9.0,8.0,4.0,10.0,6.0,0.0,0.0,0.0,0.0,6.0,5.0,8.0,9.0,1.0,0.0,1.0,12.0,7.0,1.0,1.0,3.0,10.0,6.0,1.0,3.0,2.0,4.0,0.0,0.0,25.0,29.0
app,19,92.0,3.0,2.0,0.0,13.0,1.0,2.0,0.0,8.0,2.0,1.0,66.0,4.0,0.0,10.0,16.0,13.0,2.0,12.0,1.0,0.0,6.0,16.0,1.0,2.0,9.0,5.0,14.0,16.0,2.0,0.0,2.0,1.0,4.0,5.0,3.0,2.0,4.0,3.0,3.0,20.0,15.0,1.0,3.0,25.0,0.0,0.0,68.0,43.0,11.0,31.0,1.0,7.0,2.0,13.0,2.0,512,171,39.0,12.0,1.0,116.0,5.0,22.0,5.0,3.0,6.0,18.0,4.0,5.0,6.0,15.0,4.0,26.0,3.0,1.0,10.0,9.0,0.0,0.0,21.0,3.0,0.0,39.0,15.0,3.0,0.0,0.0,0.0,19.0,28.0,3.0,2.0,15.0,15.0,2.0,13.0,139.0,18.0
apple,19,12.0,13.0,9.0,4.0,2.0,26.0,1.0,4.0,2.0,1.0,35.0,4.0,3.0,10.0,0.0,1.0,2.0,0.0,16.0,12.0,7.0,1.0,4.0,9.0,7.0,4.0,14.0,4.0,6.0,4.0,0.0,0.0,2.0,55.0,3.0,0.0,7.0,2.0,0.0,5.0,4.0,137.0,5.0,7.0,1.0,2.0,1.0,11.0,23.0,7.0,8.0,1.0,1.0,5.0,5.0,9.0,535,48,1.0,11.0,0.0,24.0,5.0,7.0,8.0,1.0,13.0,1.0,1.0,2.0,49.0,1.0,0.0,1.0,1.0,1.0,12.0,5.0,0.0,0.0,1.0,2.0,7.0,14.0,25.0,45.0,36.0,4.0,4.0,2.0,3.0,1.0,19.0,10.0,4.0,49.0,2.0,14.0,11.0
apps,6,42.0,2.0,5.0,0.0,8.0,1.0,2.0,0.0,5.0,2.0,1.0,82.0,1.0,16.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,12.0,10.0,5.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0,2.0,7.0,8.0,1.0,0.0,12.0,9.0,4.0,24.0,6.0,0.0,19.0,1.0,0.0,21.0,7.0,3.0,5.0,0.0,1.0,0.0,8.0,3.0,258,55,25.0,5.0,0.0,39.0,0.0,42.0,12.0,3.0,2.0,4.0,5.0,1.0,5.0,6.0,0.0,6.0,0.0,0.0,6.0,2.0,0.0,4.0,6.0,2.0,1.0,15.0,1.0,1.0,0.0,1.0,0.0,7.0,17.0,0.0,1.0,5.0,2.0,0.0,7.0,89.0,15.0
available,1,16.0,11.0,15.0,2.0,6.0,4.0,0.0,6.0,0.0,0.0,2.0,6.0,2.0,13.0,2.0,2.0,0.0,26.0,9.0,0.0,7.0,2.0,2.0,2.0,0.0,11.0,0.0,5.0,3.0,3.0,6.0,7.0,2.0,3.0,1.0,3.0,0.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,9.0,3.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,29.0,3.0,1.0,151,36,5.0,2.0,0.0,9.0,0.0,10.0,6.0,0.0,0.0,2.0,0.0,8.0,4.0,1.0,3.0,0.0,0.0,0.0,8.0,2.0,6.0,4.0,0.0,3.0,0.0,8.0,0.0,13.0,2.0,0.0,14.0,7.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,19.0,9.0
azure,8,3.0,0.0,13.0,1.0,16.0,2.0,3.0,0.0,15.0,1.0,10.0,2.0,17.0,2.0,0.0,3.0,26.0,0.0,0.0,5.0,0.0,6.0,5.0,3.0,0.0,101.0,0.0,2.0,17.0,3.0,12.0,2.0,13.0,0.0,8.0,5.0,0.0,0.0,0.0,4.0,9.0,6.0,6.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,29.0,0.0,10.0,0.0,2.0,2.0,454,80,5.0,4.0,0.0,35.0,10.0,28.0,1.0,6.0,1.0,0.0,6.0,28.0,0.0,3.0,0.0,14.0,1.0,0.0,3.0,20.0,15.0,34.0,1.0,3.0,0.0,0.0,11.0,0.0,1.0,3.0,3.0,1.0,7.0,0.0,2.0,7.0,3.0,3.0,1.0,8.0,0.0
band,10,6.0,220.0,2.0,5.0,0.0,5.0,2.0,1.0,14.0,0.0,4.0,12.0,0.0,12.0,16.0,2.0,9.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,14.0,5.0,7.0,0.0,1.0,0.0,4.0,4.0,2.0,0.0,1.0,0.0,9.0,19.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,3.0,347,12,0.0,2.0,0.0,20.0,2.0,0.0,6.0,1.0,2.0,1.0,6.0,0.0,5.0,0.0,3.0,2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,7.0,10.0,1.0,1.0,18.0,31.0,6.0,0.0,2.0,8.0,0.0,6.0,2.0,8.0,3.0
big,8,20.0,6.0,8.0,0.0,0.0,2.0,2.0,2.0,0.0,4.0,11.0,3.0,3.0,1.0,12.0,0.0,0.0,5.0,2.0,0.0,2.0,4.0,5.0,4.0,4.0,15.0,5.0,2.0,45.0,19.0,1.0,0.0,4.0,5.0,5.0,2.0,2.0,0.0,1.0,1.0,6.0,7.0,6.0,4.0,6.0,2.0,1.0,0.0,1.0,0.0,4.0,6.0,2.0,3.0,8.0,0.0,197,45,8.0,8.0,3.0,13.0,12.0,5.0,18.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,7.0,7.0,0.0,3.0,7.0,3.0,0.0,2.0,2.0,5.0,5.0,7.0,2.0,0.0,14.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,24.0,10.0
book,5,8.0,11.0,10.0,3.0,0.0,64.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,186,50,0.0,1.0,4.0,23.0,4.0,0.0,6.0,1.0,2.0,0.0,2.0,0.0,81.0,0.0,12.0,4.0,28.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,227.0,2.0,0.0,19.0,11.0,10.0,0.0,2.0,3.0,1.0,11.0,0.0,11.0,1.0
build,9,125.0,3.0,56.0,0.0,2.0,2.0,2.0,1.0,8.0,5.0,0.0,1.0,2.0,6.0,1.0,12.0,2.0,6.0,1.0,4.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,7.0,7.0,1.0,0.0,18.0,1.0,20.0,5.0,2.0,4.0,0.0,1.0,3.0,1.0,3.0,8.0,4.0,14.0,2.0,5.0,0.0,3.0,13.0,4.0,2.0,17.0,2.0,1.0,2.0,259,38,43.0,2.0,0.0,45.0,9.0,12.0,8.0,2.0,9.0,3.0,2.0,30.0,1.0,1.0,2.0,28.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,7.0,4.0,3.0,1.0,2.0,13.0,2.0,0.0,3.0,1.0,1.0,0.0,10.0,136.0,7.0
